ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
86879052,09/23/2012,261,ARSON 1,114,ARSON,PL 150201X,F,Q,104,0,25-44,M,WHITE,1023779.0,196172.0,40.70504351300008,-73.85743112799997
84005491,04/02/2012,261,ARSON 1,114,ARSON,PL 150201H,F,Q,103,0,25-44,M,ASIAN / PACIFIC ISLANDER,1041879.0,197084.0,40.707447364000075,-73.79214176799998
84005493,04/02/2012,261,ARSON 1,114,ARSON,PL 150201X,F,Q,103,0,25-44,M,ASIAN / PACIFIC ISLANDER,1041879.0,197084.0,40.707447364000075,-73.79214176799998
84005488,04/02/2012,261,ARSON 1,114,ARSON,PL 150201H,F,Q,103,0,25-44,M,ASIAN / PACIFIC ISLANDER,1041879.0,197084.0,40.707447364000075,-73.79214176799998
84005486,04/02/2012,261,ARSON 1,114,ARSON,PL 150201X,F,Q,103,0,25-44,M,ASIAN / PACIFIC ISLANDER,1041879.0,197084.0,40.707447364000075,-73.79214176799998
82609074,01/12/2012,261,ARSON 1,114,ARSON,PL 1502001,F,S,123,0,<18,M,WHITE,930476.0,141213.0,40.55411791900008,-74.19351154899994
81603364,11/08/2011,261,ARSON 1,114,ARSON,PL 1502001,F,K,62,97,18-24,M,WHITE,986458.0,163569.0,40.61564346800003,-73.99204845699995
80902028,09/26/2011,261,ARSON 1,114,ARSON,PL 1502001,F,K,62,97,25-44,M,WHITE,983503.0,158624.0,40.60207069800003,-74.00269150899999
80708613,09/13/2011,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,87,18-24,M,BLACK,987788.0,191924.0,40.693471325000075,-73.98724306499997
80010873,07/26/2011,261,ARSON 1,114,ARSON,PL 1502001,F,Q,106,97,18-24,M,ASIAN / PACIFIC ISLANDER,1034176.0,187755.0,40.68188828600006,-73.81999446299993
79836318,07/16/2011,261,ARSON 1,114,ARSON,PL 1502001,F,K,66,0,25-44,M,WHITE HISPANIC,994629.0,161980.0,40.61127618800003,-73.96261981499998
79836316,07/16/2011,261,ARSON 1,114,ARSON,PL 1502001,F,K,66,0,18-24,M,BLACK,994629.0,161980.0,40.61127618800003,-73.96261981499998
78465131,04/28/2011,261,ARSON 1,114,ARSON,PL 1502001,F,K,84,97,25-44,M,WHITE HISPANIC,987788.0,191924.0,40.693471325000075,-73.98724306499997
78316102,04/19/2011,261,ARSON 1,114,ARSON,PL 1502001,F,M,6,0,18-24,M,WHITE HISPANIC,986480.0,206535.0,40.733575468000026,-73.99195500499997
77707235,03/14/2011,261,ARSON 1,114,ARSON,PL 1502001,F,K,72,97,45-64,M,ASIAN / PACIFIC ISLANDER,979902.0,171803.0,40.63824327900005,-74.01566778599994
77464951,02/26/2011,261,ARSON 1,114,ARSON,PL 150201T,F,K,62,0,25-44,M,WHITE,987373.0,163507.0,40.615473016000074,-73.98875275099994
76039053,12/17/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,79,97,25-44,M,BLACK,999507.0,190206.0,40.688743368000075,-73.94498708099997
75034079,10/11/2010,261,ARSON 1,114,ARSON,PL 1502001,F,K,79,97,18-24,M,BLACK,996969.0,187772.0,40.682066605000045,-73.95414330599993
74729850,09/21/2010,261,ARSON 1,114,ARSON,PL 1502001,F,M,5,97,25-44,F,BLACK,985125.0,202688.0,40.72301662600006,-73.99684471199998
73695217,07/14/2010,261,ARSON 1,114,ARSON,PL 1502001,F,Q,113,0,18-24,M,BLACK,1046405.0,187113.0,40.680048726000045,-73.77590919399995
